name,useful_num,funny_num,games_owned,recommended,hours_played,review_date,text
Left 4 Dead 2,1,0,14,1,74.8,2016/8/12,"張貼於：2016 年 8 月 12 日
非常好玩"
Left 4 Dead 2,1,0,45,1,140.9,2016/8/12,"張貼於：2016 年 8 月 12 日
mod讚讚讚"
Left 4 Dead 2,1,0,84,1,"1,790.4",2013/12/28,"張貼於：2013 年 12 月 28 日
超好玩~非常推薦一定要擁有一套"
Left 4 Dead 2,1,0,91,1,154.8,2014/11/3,"張貼於：2014 年 11 月 3 日
和基友一起玩，每次都被witch肛。"
Left 4 Dead 2,0,2,120,1,95.5,2015/10/30,"張貼於：2015 年 10 月 30 日
nice"
Left 4 Dead 2,1,0,81,1,33.5,2013/12/30,"張貼於：2013 年 12 月 30 日
甚麼都不用說 來殺殭屍就對了!"
Left 4 Dead 2,1,0,20,1,48.5,2015/6/22,"張貼於：2015 年 6 月 22 日
0.0"
Left 4 Dead 2,1,0,76,1,560.4,2014/5/16,"張貼於：2014 年 5 月 16 日
讚! 將屍多多 又好玩~~"
Left 4 Dead 2,2,0,27,1,25.1,2016/6/25,"張貼於：2016 年 6 月 25 日
遊戲很好玩 可是macbook air用繁中介面不知道為什麼選單的字體會有點重疊 但不影響遊玩！"
Left 4 Dead 2,2,0,50,1,444.3,2015/1/24,"張貼於：2015 年 1 月 24 日
Awesome!!!"
Left 4 Dead 2,1,0,29,1,24.6,2015/7/18,"張貼於：2015 年 7 月 18 日
GOOD"
Left 4 Dead 2,1,1,54,1,20.1,2016/6/9,"張貼於：2016 年 6 月 9 日
:D"
Left 4 Dead 2,1,0,25,1,603.3,2016/4/20,"張貼於：2016 年 4 月 20 日
l really love teamwork in this game rather than killing zombies!"
Left 4 Dead 2,1,0,66,1,56.3,2016/1/6,"張貼於：2016 年 1 月 6 日
A very good game！I can not stop！Just play！"
Left 4 Dead 2,1,0,113,1,202.9,2015/6/17,"張貼於：2015 年 6 月 17 日
best game"
Left 4 Dead 2,1,0,662,1,369.2,2015/6/16,"張貼於：2015 年 6 月 16 日
快趁打折敗下去吧。收藏庫裡不可或缺的神作！"
Left 4 Dead 2,1,0,100,1,355.9,2015/6/15,"張貼於：2015 年 6 月 15 日
Perfect!"
Left 4 Dead 2,1,0,47,1,202.2,2015/3/19,"張貼於：2015 年 3 月 19 日
The Best zombie game :)"
Left 4 Dead 2,1,0,85,1,172.2,2015/2/18,"張貼於：2015 年 2 月 18 日
熱血殺殭屍"
Left 4 Dead 2,1,0,11,1,69.9,2014/3/24,"張貼於：2014 年 3 月 24 日
好玩啊:D
專業放生隊友"
Left 4 Dead 2,2,0,115,1,253.0,2016/6/26,"張貼於：2016 年 6 月 26 日
太刺激太好玩啊"
Left 4 Dead 2,0,0,7,1,189.0,2014/8/20,"張貼於：2014 年 8 月 20 日
你們的mac系統，真的座的很糟糕！lag到什麼地步！搞啥鬼阿！"
Left 4 Dead 2,3,0,17,1,33.1,2016/6/19,"張貼於：2016 年 6 月 19 日
超好玩"
Left 4 Dead 2,1,0,239,1,89.3,2013/12/29,"張貼於：2013 年 12 月 29 日
與朋友同樂的好遊戲"
Left 4 Dead 2,1,0,40,1,57.0,2016/9/4,"張貼於：2016 年 9 月 4 日
希望MOD 可以明確一點"
Left 4 Dead 2,1,0,28,1,89.9,2016/7/11,"張貼於：2016 年 7 月 11 日
it's good"
Left 4 Dead 2,1,0,55,1,50.4,2016/7/9,"張貼於：2016 年 7 月 9 日
跟朋友一起玩得好遊戲"
Left 4 Dead 2,1,0,55,1,369.1,2016/6/27,"張貼於：2016 年 6 月 27 日
GooooooooooooooooooooooooooooooooD!!!!"
Left 4 Dead 2,1,0,9,1,101.1,2016/6/26,"張貼於：2016 年 6 月 26 日
好好玩"
Left 4 Dead 2,1,0,71,1,23.8,2016/6/26,"張貼於：2016 年 6 月 26 日
好玩"
Left 4 Dead 2,1,0,45,1,50.3,2016/6/6,"張貼於：2016 年 6 月 6 日
免費獲得的產品

An easy game to play and if you a new player for FPS, try it."
Left 4 Dead 2,1,0,6,1,22.9,2016/5/26,"張貼於：2016 年 5 月 26 日
跟朋友一起玩很好玩"
Left 4 Dead 2,1,0,38,1,9.9,2016/5/14,"張貼於：2016 年 5 月 14 日
一個適合朋友間一起遊玩的遊戲"
Left 4 Dead 2,1,0,199,1,244.9,2016/5/10,"張貼於：2016 年 5 月 10 日
GOOD!!!!!!!"
Left 4 Dead 2,1,0,13,1,152.2,2016/5/7,"張貼於：2016 年 5 月 7 日
good"
Left 4 Dead 2,1,0,28,1,"1,084.2",2016/5/5,"張貼於：2016 年 5 月 5 日
只要是殭屍類的愛好者,都會愛上L4D2"
Left 4 Dead 2,1,0,94,1,3.7,2016/4/10,"張貼於：2016 年 4 月 10 日
很多有趣的mod可以裝，跟朋友一起玩很不錯"
Left 4 Dead 2,1,0,175,1,72.4,2016/4/3,"張貼於：2016 年 4 月 3 日
AI太蠢，有时候人不够，AI就会严重影响游戏体验"
Left 4 Dead 2,1,1,41,1,74.9,2016/3/2,"張貼於：2016 年 3 月 2 日
不需廢話的經典"
Left 4 Dead 2,1,0,84,1,144.9,2016/2/19,"張貼於：2016 年 2 月 19 日
跟朋友打發時間超棒!"
Left 4 Dead 2,1,0,169,1,201.3,2016/2/12,"張貼於：2016 年 2 月 12 日
多说无用,坑队友去了..."
Left 4 Dead 2,1,0,31,1,21.1,2016/2/7,"張貼於：2016 年 2 月 7 日
GOOD"
Left 4 Dead 2,1,0,31,1,258.6,2016/1/24,"張貼於：2016 年 1 月 24 日
好玩"
Left 4 Dead 2,1,0,85,1,89.8,2016/1/23,"張貼於：2016 年 1 月 23 日
撇除有些惡劣玩家亂玩不團結外，這個遊戲最好是和認識的一起玩
四人玩一般，八人以內玩對抗
真的是歡樂無限!!十分推薦入手~"
Left 4 Dead 2,1,0,19,1,68.3,2016/1/10,"張貼於：2016 年 1 月 10 日
配置要求低,少bug,有多人同埋可以down mod
正game 推推推"
Left 4 Dead 2,1,1,79,1,34.2,2016/1/7,"張貼於：2016 年 1 月 7 日
很真實！希望增加槍械和手雷，彊屍模型增加，女彊有時異常地少，希望修復，和希望新增地圖，公開彩蛋，推介大家玩這隻game"
Left 4 Dead 2,1,0,43,1,182.6,2016/1/4,"張貼於：2016 年 1 月 4 日
Awesome game experience"
Left 4 Dead 2,1,0,67,1,4.2,2016/1/3,"張貼於：2016 年 1 月 3 日
好玩"
Left 4 Dead 2,1,0,7,1,112.6,2016/1/3,"張貼於：2016 年 1 月 3 日
great game"
Left 4 Dead 2,1,0,4,1,28.6,2015/12/31,"張貼於：2015 年 12 月 31 日
It`s cool !!!"
Left 4 Dead 2,1,0,398,1,30.1,2015/12/27,"張貼於：2015 年 12 月 27 日
經典遊戲 好玩!"
Left 4 Dead 2,1,0,131,1,13.1,2015/12/27,"張貼於：2015 年 12 月 27 日
awesome"
Left 4 Dead 2,1,0,33,1,28.6,2015/12/26,"張貼於：2015 年 12 月 26 日
Absolutely a great game!"
